adduser 3.137ubuntu1
grep 3.11-4build1
groff-base 1.23.0-3build2
grub-common 2.12-1ubuntu7.3
grub-gfxpayload-lists 0.7build2
grub-pc 2.12-1ubuntu7.3
grub-pc-bin 2.12-1ubuntu7.3
grub2-common 2.12-1ubuntu7.3
gzip 1.12-1ubuntu3.2
hostname 3.23+nmu2ubuntu2
hwdata 0.379-1
ieee-data 20220827.1
init-system-helpers 1.66ubuntu1
initramfs-tools 0.142ubuntu25.8
initramfs-tools-bin 0.142ubuntu25.8
initramfs-tools-core 0.142ubuntu25.8
intel-microcode 3.20260210.0ubuntu0.24.04.1
iproute2 6.1.0-1ubuntu6.2
iptables 1.8.10-3ubuntu2
iputils-ping 3:20240117-1ubuntu0.1
iso-codes 4.16.0-1
iucode-tool 2.3.1-3build1
kbd 2.6.4-2ubuntu2
keyboard-configuration 1.226ubuntu1
keyboxd 2.4.4-2ubuntu17.4
klibc-utils 2.0.13-4ubuntu0.2
kmod 31+20240202-2ubuntu7.2
kpartx 0.9.4-5ubuntu8.1
krb5-locales 1.20.1-6ubuntu2.6
less 590-2ubuntu2.1
libacl1 2.3.2-1build1.1
libaio1t64 0.3.113-6build1.1
libaom3 3.8.2-2ubuntu0.1
libapparmor1 4.0.1really4.0.1-0ubuntu0.24.04.5
libappstream5 1.0.2-1build6
libapt-pkg6.0t64 2.8.3
libargon2-1 0~20190702+dfsg-4build1
libassuan0 2.5.6-1build1
libatm1t64 1:2.5.1-5.1build1
libattr1 1:2.5.2-1build1.1
libaudit-common 1:3.1.2-2.1build1.1
libaudit1 1:3.1.2-2.1build1.1
libblkid1 2.39.3-9ubuntu6.5
libbpf1 1:1.3.0-2build2
libbpfcc 0.29.1+ds-1ubuntu7
libbrotli1 1.1.0-2build2
libbsd0 0.12.1-1build1.1
libbz2-1.0 1.0.8-5.1build0.1
libc-bin 2.39-0ubuntu8.7
libc-dev-bin 2.39-0ubuntu8.7
libc-devtools 2.39-0ubuntu8.7
libc6 2.39-0ubuntu8.7
libc6-dev 2.39-0ubuntu8.7
libcap-ng0 0.8.4-2build2
libcap2 1:2.66-5ubuntu2.4
libcap2-bin 1:2.66-5ubuntu2.4
libcbor0.10 0.10.2-1.2ubuntu2
libclang-cpp18 1:18.1.3-1ubuntu1
libclang1-18 1:18.1.3-1ubuntu1
libcom-err2 1.47.0-2.4~exp1ubuntu4.1
libcrypt-dev 1:4.4.36-4build1
libcrypt1 1:4.4.36-4build1
libcryptsetup12 2:2.7.0-1ubuntu4.2
libcurl3t64-gnutls 8.5.0-2ubuntu10.11
libcurl4t64 8.5.0-2ubuntu10.11
libdb5.3t64 5.3.28+dfsg2-7
libdbus-1-3 1.14.10-4ubuntu4.1
libdbus-glib-1-2 0.112-3build2
libdebconfclient0 0.271ubuntu3
libdeflate0 1.19-1build1.1
libdevmapper-event1.02.1 2:1.02.185-3ubuntu3.2
libdevmapper1.02.1 2:1.02.185-3ubuntu3.2
libdrm-common 2.4.125-1ubuntu0.1~24.04.2
libdrm2 2.4.125-1ubuntu0.1~24.04.2
libduktape207 2.7.0+tests-0ubuntu3
libdw1t64 0.190-1.1ubuntu0.1
libeatmydata1 131-1ubuntu1
libedit2 3.1-20230828-1build1
libefiboot1t64 38-3.1build1
libefivar1t64 38-3.1build1
libelf1t64 0.190-1.1ubuntu0.1
liberror-perl 0.17029-2
libevdev2 1.13.1+dfsg-1build1
libexpat1 2.6.1-2ubuntu0.4
libext2fs2t64 1.47.0-2.4~exp1ubuntu4.1
libfdisk1 2.39.3-9ubuntu6.5
libffi8 3.4.6-1build1
libfido2-1 1.14.0-1build3
libfontconfig1 2.15.0-1.1ubuntu2
libfreetype6 2.13.2+dfsg-1ubuntu0.1
libfuse3-3 3.14.0-5build1
libgcc-s1 14.2.0-4ubuntu2~24.04.1
libgcrypt20 1.10.3-2ubuntu0.1
libgd3 2.3.3-9ubuntu5
libgdbm-compat4t64 1.23-5.1build1
libgdbm6t64 1.23-5.1build1
libgirepository-1.0-1 1.80.1-1
libglib2.0-0t64 2.80.0-6ubuntu3.8
libglib2.0-bin 2.80.0-6ubuntu3.8
libglib2.0-data 2.80.0-6ubuntu3.8
libgmp10 2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64 3.8.3-1.1ubuntu3.6
libgpg-error0 1.47-3build2.1
libgssapi-krb5-2 1.20.1-6ubuntu2.6
libgstreamer1.0-0 1.24.2-1ubuntu0.1
libgudev-1.0-0 1:238-5ubuntu1
libheif-plugin-aomdec 1.17.6-1ubuntu4.6
libheif-plugin-aomenc 1.17.6-1ubuntu4.6
libheif1 1.17.6-1ubuntu4.6
libhogweed6t64 3.9.1-2.2build1.1
libicu74 74.2-1ubuntu3.1
libidn2-0 2.3.7-2build1.1
libimobiledevice6 1.3.0-8.1build3
libinih1 55-1ubuntu2
libintl-perl 1.33-1build3
libintl-xs-perl 1.33-1build3
libip4tc2 1.8.10-3ubuntu2
libip6tc2 1.8.10-3ubuntu2
libisns0t64 0.101-0.3build3
libjansson4 2.14-2build2
libjbig0 2.1-6.1ubuntu2
libjpeg-turbo8 2.1.5-2ubuntu2
libjpeg8 8c-2ubuntu11
libjson-c5 0.17-1build1
libk5crypto3 1.20.1-6ubuntu2.6
libkeyutils1 1.6.3-3build1
libklibc 2.0.13-4ubuntu0.2
libkmod2 31+20240202-2ubuntu7.2
libkrb5-3 1.20.1-6ubuntu2.6
libkrb5support0 1.20.1-6ubuntu2.6
libksba8 1.6.6-1build1
libldap-common 2.6.10+dfsg-0ubuntu0.24.04.1
libldap2 2.6.10+dfsg-0ubuntu0.24.04.1
liblerc4 4.0.0+ds-4ubuntu2
libllvm18 1:18.1.3-1ubuntu1
liblocale-gettext-perl 1.07-6ubuntu5
liblvm2cmd2.03 2.03.16-3ubuntu3.2
liblz4-1 1.9.4-1build1.1
liblzma5 5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2 2.10-2build4
libmd0 1.1.0-2build1.1
libmnl0 1.0.5-2build1
libmodule-find-perl 0.16-2
libmodule-scandeps-perl 1.35-1ubuntu0.24.04.1
libmount1 2.39.3-9ubuntu6.5
libmpfr6 4.2.1-1build1.1
libncursesw6 6.4+20240113-1ubuntu2.1
libnetfilter-conntrack3 1.0.9-6build1
libnetplan1 1.1.2-8ubuntu1~24.04.1
libnettle8t64 3.9.1-2.2build1.1
libnfnetlink0 1.0.2-2build1
libnftables1 1.0.9-1ubuntu0.1
libnftnl11 1.2.6-2build1
libnghttp2-14 1.59.0-1ubuntu0.4
libnpth0t64 1.6-3.1build1
libnss-systemd 255.4-1ubuntu8.16
libnuma1 2.0.18-1ubuntu0.24.04.1
libopeniscsiusr 2.1.9-3ubuntu5.4
libp11-kit0 0.25.3-4ubuntu2.1
libpackagekit-glib2-18 1.2.8-2ubuntu1.5
libpam-cap 1:2.66-5ubuntu2.4
libpam-modules 1.5.3-5ubuntu5.5
libpam-modules-bin 1.5.3-5ubuntu5.5
libpam-runtime 1.5.3-5ubuntu5.5
libpam-systemd 255.4-1ubuntu8.16
libpam0g 1.5.3-5ubuntu5.5
libpci3 1:3.10.0-2build1
libpcre2-8-0 10.42-4ubuntu2.1
libperl5.38t64 5.38.2-3.2ubuntu0.3
libplist-2.0-4 2.3.0-1~exp2build2
libplymouth5 24.004.60-1ubuntu7.1
libpng16-16t64 1.6.43-5ubuntu0.6
libpolkit-agent-1-0 124-2ubuntu1.24.04.3
libpolkit-gobject-1-0 124-2ubuntu1.24.04.3
libpopt0 1.19+dfsg-1build1
libproc-processtable-perl 0.636-1build3
libproc2-0 2:4.0.4-4ubuntu3.2
libpsl5t64 0.21.2-1.1build1
libpython3-stdlib 3.12.3-0ubuntu2.1
libpython3.12-minimal 3.12.3-1ubuntu0.15
libpython3.12-stdlib 3.12.3-1ubuntu0.15
libpython3.12t64 3.12.3-1ubuntu0.15
libreadline8t64 8.2-4build1
libreiserfscore0t64 1:3.6.27-7.1build1
librtmp1 2.4+20151223.gitfa8646d.1-2build7
libsasl2-2 2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules 2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db 2.1.28+dfsg1-5ubuntu3.1
libseccomp2 2.5.5-1ubuntu3.1
libselinux1 3.5-2ubuntu2.1
libsemanage-common 3.5-1build5
libsemanage2 3.5-1build5
libsepol2 3.5-2build1
libsgutils2-1.46-2 1.46-3ubuntu4
libsharpyuv0 1.3.2-0.4build3
libsigsegv2 2.14-1ubuntu2
libslang2 2.3.3-3build2
libsmartcols1 2.39.3-9ubuntu6.5
libsort-naturally-perl 1.03-4
libsqlite3-0 3.45.1-1ubuntu2.6
libss2 1.47.0-2.4~exp1ubuntu4.1
libssh-4 0.10.6-2ubuntu0.4
libssl3t64 3.0.13-0ubuntu3.11
libstdc++6 14.2.0-4ubuntu2~24.04.1
libstemmer0d 2.2.0-4build1
libsystemd-shared 255.4-1ubuntu8.16
libsystemd0 255.4-1ubuntu8.16
libtasn1-6 4.19.0-3ubuntu0.24.04.2
libterm-readkey-perl 2.38-2build4
libtiff6 4.5.1+git230720-4ubuntu2.5
libtinfo6 6.4+20240113-1ubuntu2.1
libtraceevent1 1:1.8.2-1ubuntu2.1
libuchardet0 0.0.8-1build1
libudev1 255.4-1ubuntu8.16
libunistring5 1.1-2build1.1
libunwind8 1.6.2-3build1.1
libupower-glib3 1.90.3-1
liburcu8t64 0.14.0-3.1build1
libusb-1.0-0 2:1.0.27-1
libusbmuxd6 2.0.2-4build3
libuuid1 2.39.3-9ubuntu6.5
libwebp7 1.3.2-0.4build3
libwrap0 7.6.q-33
libx11-6 2:1.8.7-1build1
libx11-data 2:1.8.7-1build1
libxau6 1:1.0.9-1build6
libxcb1 1.15-1ubuntu2
libxdmcp6 1:1.1.3-0ubuntu6
libxext6 2:1.3.4-1build2
libxkbcommon0 1.6.0-1build1
libxml2 2.9.14+dfsg-1.3ubuntu3.8
libxmlb2 0.3.18-1
libxmuu1 2:1.1.3-3build2
libxpm4 1:3.5.17-1build2
libxtables12 1.8.10-3ubuntu2
libxxhash0 0.8.2-2build1
libyaml-0-2 0.2.5-1build1
libzstd1 1.5.5+dfsg2-2build1.1
linux-base 4.5ubuntu9+24.04.1
linux-firmware 20240318.git3b128b60-0ubuntu2.27
linux-generic 6.8.0-134.134
linux-headers-6.8.0-134 6.8.0-134.134
linux-headers-6.8.0-134-generic 6.8.0-134.134
linux-headers-generic 6.8.0-134.134
linux-image-6.8.0-134-generic 6.8.0-134.134
linux-image-generic 6.8.0-134.134
linux-libc-dev 6.8.0-134.134
linux-modules-6.8.0-134-generic 6.8.0-134.134
linux-modules-extra-6.8.0-134-generic 6.8.0-134.134
linux-tools-6.8.0-134 6.8.0-134.134
linux-tools-6.8.0-134-generic 6.8.0-134.134
linux-tools-common 6.8.0-134.134
login 1:4.13+dfsg1-4ubuntu3.2
logsave 1.47.0-2.4~exp1ubuntu4.1
lsb-base 11.6
lsb-release 12.0-2
lvm2 2.03.16-3ubuntu3.2
lxd-installer 4ubuntu0.1
manpages 6.7-2
manpages-dev 6.7-2
mawk 1.3.4.20240123-1build1
mdadm 4.3-1ubuntu2.1
media-types 10.1.0
mount 2.39.3-9ubuntu6.5
multipath-tools 0.9.4-5ubuntu8.1
nano 7.2-2ubuntu0.2
ncurses-base 6.4+20240113-1ubuntu2.1
ncurses-bin 6.4+20240113-1ubuntu2.1
ncurses-term 6.4+20240113-1ubuntu2.1
needrestart 3.6-7ubuntu4.5
netbase 6.4
netplan-generator 1.1.2-8ubuntu1~24.04.1
netplan.io 1.1.2-8ubuntu1~24.04.1
networkd-dispatcher 2.2.4-1
nftables 1.0.9-1ubuntu0.1
open-iscsi 2.1.9-3ubuntu5.4
openssh-client 1:9.6p1-3ubuntu13.18
openssh-server 1:9.6p1-3ubuntu13.18
openssh-sftp-server 1:9.6p1-3ubuntu13.18
openssl 3.0.13-0ubuntu3.11
os-prober 1.81ubuntu4
packagekit 1.2.8-2ubuntu1.5
packagekit-tools 1.2.8-2ubuntu1.5
passwd 1:4.13+dfsg1-4ubuntu3.2
patch 2.7.6-7build3
pci.ids 0.0~2024.03.31-1ubuntu0.1
pciutils 1:3.10.0-2build1
perl 5.38.2-3.2ubuntu0.3
perl-base 5.38.2-3.2ubuntu0.3
perl-modules-5.38 5.38.2-3.2ubuntu0.3
pigz 2.8-1
pinentry-curses 1.2.1-3ubuntu5
plymouth 24.004.60-1ubuntu7.1
plymouth-theme-ubuntu-text 24.004.60-1ubuntu7.1
polkitd 124-2ubuntu1.24.04.3
pollinate 4.33-3.1ubuntu1.3
procps 2:4.0.4-4ubuntu3.2
publicsuffix 20231001.0357-0.1
python-apt-common 2.7.7ubuntu5.2
python-babel-localedata 2.10.3-3build1
python3 3.12.3-0ubuntu2.1
python3-apport 2.28.1-0ubuntu3.8
python3-apt 2.7.7ubuntu5.2
python3-attr 23.2.0-2
python3-babel 2.10.3-3build1
python3-blinker 1.7.0-1
python3-bpfcc 0.29.1+ds-1ubuntu7
python3-certifi 2023.11.17-1
python3-cffi-backend 1.16.0-2build1
python3-chardet 5.2.0+dfsg-1
python3-click 8.1.6-2
python3-colorama 0.4.6-4
python3-configobj 5.0.8-3
python3-cryptography 41.0.7-4ubuntu0.4
python3-dbus 1.3.2-5build3
python3-debconf 1.5.86ubuntu1
python3-distro 1.9.0-1
python3-distro-info 1.7build1
python3-distupgrade 1:24.04.28
python3-gi 3.48.2-1
python3-httplib2 0.20.4-3ubuntu0.1
python3-idna 3.6-2ubuntu0.2
python3-jinja2 3.1.2-1ubuntu1.3
python3-json-pointer 2.0-0ubuntu1
python3-jsonpatch 1.32-3
python3-jsonschema 4.10.3-2ubuntu1
python3-jwt 2.7.0-1ubuntu0.1
python3-launchpadlib 1.11.0-6
python3-lazr.restfulclient 0.14.6-1
python3-lazr.uri 1.0.6-3
python3-markdown-it 3.0.0-2
python3-markupsafe 2.1.5-1build2
python3-mdurl 0.1.2-1
python3-minimal 3.12.3-0ubuntu2.1
python3-netaddr 0.8.0-2ubuntu1
python3-netplan 1.1.2-8ubuntu1~24.04.1
python3-oauthlib 3.2.2-1
python3-pkg-resources 68.1.2-2ubuntu1.2
python3-problem-report 2.28.1-0ubuntu3.8
python3-pygments 2.17.2+dfsg-1
python3-pyparsing 3.1.1-1
python3-pyrsistent 0.20.0-1build2
python3-requests 2.31.0+dfsg-1ubuntu1.1
python3-rich 13.7.1-1
python3-serial 3.5-2
python3-six 1.16.0-4
python3-software-properties 0.99.49.3
python3-systemd 235-1build4
python3-tz 2024.1-2
python3-update-manager 1:24.04.12
python3-urllib3 2.0.7-1ubuntu0.7
python3-wadllib 1.3.6-5
python3-xkit 0.5.0ubuntu6
python3-yaml 6.0.1-2build2
python3.12 3.12.3-1ubuntu0.15
python3.12-minimal 3.12.3-1ubuntu0.15
readline-common 8.2-4build1
rpcsvc-proto 1.4.2-0ubuntu7
sed 4.9-2ubuntu0.24.04.1
sensible-utils 0.0.22
sg3-utils 1.46-3ubuntu4
sg3-utils-udev 1.46-3ubuntu4
sgml-base 1.31
shared-mime-info 2.4-4
snapd 2.73+ubuntu24.04.2
software-properties-common 0.99.49.3
squashfs-tools 1:4.6.1-1build1
ssh-import-id 5.11-0ubuntu2.24.04.1
sudo 1.9.15p5-3ubuntu5.24.04.2
systemd 255.4-1ubuntu8.16
systemd-dev 255.4-1ubuntu8.16
systemd-hwe-hwdb 255.1.6
systemd-resolved 255.4-1ubuntu8.16
systemd-sysv 255.4-1ubuntu8.16
systemd-timesyncd 255.4-1ubuntu8.16
sysvinit-utils 3.08-6ubuntu3
tar 1.35+dfsg-3ubuntu0.2
thermald 2.5.6-2ubuntu0.24.04.5
thin-provisioning-tools 0.9.0-2ubuntu5.1
tzdata 2026b-0ubuntu0.24.04.1
ubuntu-drivers-common 1:0.9.7.6ubuntu3.5
ubuntu-kernel-accessories 1.539.2
ubuntu-keyring 2023.11.28.1
ubuntu-release-upgrader-core 1:24.04.28
ubuntu-server-minimal 1.539.2
ucf 3.0043+nmu1
udev 255.4-1ubuntu8.16
unattended-upgrades 2.9.1+nmu4ubuntu1
unminimize 0.2.1
upower 1.90.3-1
usb.ids 2024.03.18-1
usbmuxd 1.1.1-5~exp3ubuntu2.1
usbutils 1:017-3build1
util-linux 2.39.3-9ubuntu6.5
wget 1.21.4-1ubuntu4.3
wireless-regdb 2025.10.07-0ubuntu1~24.04.1
xauth 1:1.1.2-1build1
xdg-user-dirs 0.18-1build1
xfsprogs 6.6.0-1ubuntu2.1
xkb-data 2.41-2ubuntu1.1
xml-core 0.19
xxd 2:9.1.0016-1ubuntu7.18
xz-utils 5.6.1+really5.4.5-1ubuntu0.3
zlib1g 1:1.3.dfsg-3.1ubuntu2.1
zstd 1.5.5+dfsg2-2build1.1
